Año_Mes,Ventas_Totales,Unidades_Vendidas,Total_Ordenes,Ticket_Promedio,Var_%_Ventas_vs_Ant
2003-01,129753.6,1357,5,25950.72,0.0
2003-02,140836.19,1449,3,46945.4,8.54
2003-03,174504.9,1755,6,29084.15,23.91
2003-04,201609.55,1993,7,28801.36,15.53
2003-05,192673.11,2017,6,32112.18,-4.43
2003-06,168082.56,1649,6,28013.76,-12.76
2003-07,187731.88,1725,6,31288.65,11.69
2003-08,197809.3,1974,5,39561.86,5.37
2003-09,263973.36,2510,8,32996.67,33.45
2003-10,568290.97,5515,17,33428.88,115.28
2003-11,1029837.66,10179,28,36779.92,81.22
2003-12,261876.46,2489,7,37410.92,-74.57
2004-01,316577.42,3245,8,39572.18,20.89
2004-02,311419.53,3061,10,31141.95,-1.63
2004-03,205733.73,1978,7,29390.53,-33.94
2004-04,206148.12,2077,10,20614.81,0.2
2004-05,273438.39,2618,8,34179.8,32.64
2004-06,286674.22,2971,10,28667.42,4.84
2004-07,327144.09,3174,10,32714.41,14.12
2004-08,461501.27,4564,12,38458.44,41.07
2004-09,320750.91,3171,12,26729.24,-30.5
2004-10,552924.25,5483,13,42532.63,72.38
2004-11,1089048.01,10678,33,33001.45,96.96
2004-12,372802.66,3804,11,33891.15,-65.77
2005-01,339543.42,3395,12,28295.28,-8.92
2005-02,358186.18,3393,12,29848.85,5.49
2005-03,374262.76,3852,12,31188.56,4.49
2005-04,261633.29,2634,9,29070.37,-30.09
2005-05,457861.06,4357,14,32704.36,75.0
