Mes,Ventas_Totales,Ticket_Promedio,Unidades_Vendidas,Numero_Ordenes,Alerta
2003-01,129753.6,25950.72,1357,5,Sin período previo
2003-02,140836.19,46945.4,1449,3,OK
2003-03,174504.9,29084.15,1755,6,ALERTA: Caída de Ticket Promedio (-38.0%)
2003-04,201609.55,28801.36,1993,7,OK
2003-05,192673.11,32112.18,2017,6,OK
2003-06,168082.56,28013.76,1649,6,OK
2003-07,187731.88,31288.65,1725,6,OK
2003-08,197809.3,39561.86,1974,5,OK
2003-09,263973.36,32996.67,2510,8,OK
2003-10,568290.97,33428.88,5515,17,OK
2003-11,1029837.66,36779.92,10179,28,OK
2003-12,261876.46,37410.92,2489,7,OK
2004-01,316577.42,39572.18,3245,8,OK
2004-02,311419.53,31141.95,3061,10,ALERTA: Caída de Ticket Promedio (-21.3%)
2004-03,205733.73,29390.53,1978,7,OK
2004-04,206148.12,20614.81,2077,10,ALERTA: Caída de Ticket Promedio (-29.9%)
2004-05,273438.39,34179.8,2618,8,OK
2004-06,286674.22,28667.42,2971,10,OK
2004-07,327144.09,32714.41,3174,10,OK
2004-08,461501.27,38458.44,4564,12,OK
2004-09,320750.91,26729.24,3171,12,ALERTA: Caída de Ticket Promedio (-30.5%)
2004-10,552924.25,42532.63,5483,13,OK
2004-11,1089048.01,33001.45,10678,33,ALERTA: Caída de Ticket Promedio (-22.4%)
2004-12,372802.66,33891.15,3804,11,OK
2005-01,339543.42,28295.28,3395,12,OK
2005-02,358186.18,29848.85,3393,12,OK
2005-03,374262.76,31188.56,3852,12,OK
2005-04,261633.29,29070.37,2634,9,OK
2005-05,457861.06,32704.36,4357,14,OK
