Mes,Ventas_Totales,Ticket_Promedio,Unidades_Vendidas,Cantidad_Pedidos
2003-01,129753.6,25950.72,1357,5
2003-02,140836.19,46945.39666666667,1449,3
2003-03,174504.9,29084.149999999998,1755,6
2003-04,201609.55,28801.364285714284,1993,7
2003-05,192673.11,32112.184999999998,2017,6
2003-06,168082.56,28013.76,1649,6
2003-07,187731.88,31288.646666666667,1725,6
2003-08,197809.3,39561.86,1974,5
2003-09,263973.36,32996.67,2510,8
2003-10,568290.97,33428.88058823529,5515,17
2003-11,1029837.66,36779.91642857143,10179,28
2003-12,261876.46,37410.922857142854,2489,7
2004-01,316577.42,39572.1775,3245,8
2004-02,311419.53,31141.953,3061,10
2004-03,205733.73,29390.532857142858,1978,7
2004-04,206148.12,20614.811999999998,2077,10
2004-05,273438.39,34179.79875,2618,8
2004-06,286674.22,28667.422,2971,10
2004-07,327144.09,32714.409000000003,3174,10
2004-08,461501.27,38458.43916666667,4564,12
2004-09,320750.91,26729.242499999997,3171,12
2004-10,552924.25,42532.63461538462,5483,13
2004-11,1089048.01,33001.45484848485,10678,33
2004-12,372802.66,33891.15090909091,3804,11
2005-01,339543.42,28295.285,3395,12
2005-02,358186.18,29848.84833333333,3393,12
2005-03,374262.76,31188.563333333335,3852,12
2005-04,261633.29,29070.365555555556,2634,9
2005-05,457861.06,32704.36142857143,4357,14
