Mes,Ventas_Totales,Ticket_Promedio,Unidades_Vendidas,Cantidad_Pedidos,Alerta
2003-01,129753.6,25950.72,1357,5,Sin Período Anterior
2003-02,140836.19,46945.39666666667,1449,3,🟢 Normal
2003-03,174504.9,29084.15,1755,6,🟢 Normal
2003-04,201609.55,28801.364285714284,1993,7,🟢 Normal
2003-05,192673.11,32112.185,2017,6,🟢 Normal
2003-06,168082.56,28013.76,1649,6,🟢 Normal
2003-07,187731.88,31288.646666666667,1725,6,🟢 Normal
2003-08,197809.3,39561.86,1974,5,🟢 Normal
2003-09,263973.36,32996.67,2510,8,🟢 Normal
2003-10,568290.97,33428.88058823529,5515,17,🟢 Normal
2003-11,1029837.66,36779.91642857143,10179,28,🟢 Normal
2003-12,261876.46,37410.92285714285,2489,7,🔴 ALERTA: Caída de 74.6% en Ventas Totales vs mes anterior
2004-01,316577.42,39572.1775,3245,8,🟢 Normal
2004-02,311419.53,31141.953,3061,10,🟢 Normal
2004-03,205733.73,29390.532857142854,1978,7,🔴 ALERTA: Caída de 33.9% en Ventas Totales vs mes anterior
2004-04,206148.12,20614.812,2077,10,🟢 Normal
2004-05,273438.39,34179.79875,2618,8,🟢 Normal
2004-06,286674.22,28667.422,2971,10,🟢 Normal
2004-07,327144.09,32714.409000000003,3174,10,🟢 Normal
2004-08,461501.27,38458.43916666667,4564,12,🟢 Normal
2004-09,320750.91,26729.2425,3171,12,🔴 ALERTA: Caída de 30.5% en Ventas Totales vs mes anterior
2004-10,552924.25,42532.63461538462,5483,13,🟢 Normal
2004-11,1089048.01,33001.45484848485,10678,33,🟢 Normal
2004-12,372802.66,33891.15090909091,3804,11,🔴 ALERTA: Caída de 65.8% en Ventas Totales vs mes anterior
2005-01,339543.42,28295.285,3395,12,🟢 Normal
2005-02,358186.18,29848.84833333333,3393,12,🟢 Normal
2005-03,374262.76,31188.56333333333,3852,12,🟢 Normal
2005-04,261633.29,29070.36555555556,2634,9,🔴 ALERTA: Caída de 30.1% en Ventas Totales vs mes anterior
2005-05,457861.06,32704.36142857143,4357,14,🟢 Normal
