Año_Mes,Ventas_Totales,Unidades_Vendidas,Total_Pedidos,Ticket_Promedio,Alerta
2003-01,129753.6,1357,5,25950.72,Sin Período Anterior
2003-02,140836.19,1449,3,46945.4,Normal
2003-03,174504.9,1755,6,29084.15,ALERTA: Caída del Ticket Promedio en 38.0%
2003-04,201609.55,1993,7,28801.36,Normal
2003-05,192673.11,2017,6,32112.18,Normal
2003-06,168082.56,1649,6,28013.76,Normal
2003-07,187731.88,1725,6,31288.65,Normal
2003-08,197809.3,1974,5,39561.86,Normal
2003-09,263973.36,2510,8,32996.67,Normal
2003-10,568290.97,5515,17,33428.88,Normal
2003-11,1029837.66,10179,28,36779.92,Normal
2003-12,261876.46,2489,7,37410.92,Normal
2004-01,316577.42,3245,8,39572.18,Normal
2004-02,311419.53,3061,10,31141.95,ALERTA: Caída del Ticket Promedio en 21.3%
2004-03,205733.73,1978,7,29390.53,Normal
2004-04,206148.12,2077,10,20614.81,ALERTA: Caída del Ticket Promedio en 29.9%
2004-05,273438.39,2618,8,34179.8,Normal
2004-06,286674.22,2971,10,28667.42,Normal
2004-07,327144.09,3174,10,32714.41,Normal
2004-08,461501.27,4564,12,38458.44,Normal
2004-09,320750.91,3171,12,26729.24,ALERTA: Caída del Ticket Promedio en 30.5%
2004-10,552924.25,5483,13,42532.63,Normal
2004-11,1089048.01,10678,33,33001.45,ALERTA: Caída del Ticket Promedio en 22.4%
2004-12,372802.66,3804,11,33891.15,Normal
2005-01,339543.42,3395,12,28295.29,Normal
2005-02,358186.18,3393,12,29848.85,Normal
2005-03,374262.76,3852,12,31188.56,Normal
2005-04,261633.29,2634,9,29070.37,Normal
2005-05,457861.06,4357,14,32704.36,Normal
